Team Per Game Stats：每支队伍平均每场比赛的表现统计

数据名	含义
Rk -- Rank	排名
G -- Games	参与的比赛场数（都为82场）
MP -- Minutes Played	平均每场比赛进行的时间
FG --Field Goals	投球命中次数
FGA --Field Goal Attempts	投射次数
FG% --Field Goal Percentage	投球命中次数
3P --3-Point Field Goals	三分球命中次数
3PA --3-Point Field Goal Attempts	三分球投射次数
3P% --3-Point Field Goal Percentage	三分球命中率
2P --2-Point Field Goals	二分球命中次数
2PA --2-point Field Goal Attempts	二分球投射次数
2P% --2-Point Field Goal Percentage	二分球命中率
FT --Free Throws	罚球命中次数
FTA --Free Throw Attempts	罚球投射次数
FT% --Free Throw Percentage	罚球命中率
ORB --Offensive Rebounds	进攻篮板球
DRB --Defensive Rebounds	防守篮板球
TRB --Total Rebounds	篮板球总数
AST --Assists	助攻
STL --Steals	抢断
BLK -- Blocks	封盖
TOV -- Turnovers	失误
PF -- Personal Fouls	个犯
PTS -- Points	得分

Opponent Per Game Stats：所遇到的对手平均每场比赛的统计信息，所包含的统计数据与Team Per Game Stats中的一致，只是代表的该球队对应的对手的

Miscellaneous Stats：综合统计数据

数据项	数据含义
Rk (Rank)	排名
Age	队员的平均年龄
W (Wins)	胜利次数
L (Losses)	失败次数
PW (Pythagorean wins)	基于毕达哥拉斯理论计算的赢的概率
PL (Pythagorean losses)	基于毕达哥拉斯理论计算的输的概率
MOV (Margin of Victory)	赢球次数的平均间隔
SOS (Strength of Schedule)	用以评判对手选择与其球队或是其他球队的难易程度对比，0为平均线，可以为正负数
SRS (Simple Rating System)	3
ORtg (Offensive Rating)	每100个比赛回合中的进攻比例
DRtg (Defensive Rating)	每100个比赛回合中的防守比例
Pace (Pace Factor)	每48分钟内大概会进行多少个回合
FTr (Free Throw Attempt Rate)	罚球次数所占投射次数的比例
3PAr (3-Point Attempt Rate)	三分球投射占投射次数的比例
TS% (True Shooting Percentage)	二分球、三分球和罚球的总共命中率
eFG% (Effective Field Goal Percentage)	有效的投射百分比（含二分球、三分球）
TOV% (Turnover Percentage)	每100场比赛中失误的比例
ORB% (Offensive Rebound Percentage)	球队中平均每个人的进攻篮板的比例
FT/FGA	罚球所占投射的比例
eFG% (Opponent Effective Field Goal Percentage)	对手投射命中比例
TOV% (Opponent Turnover Percentage)	对手的失误比例
DRB% (Defensive Rebound Percentage)	球队平均每个球员的防守篮板比例
FT/FGA (Opponent Free Throws Per Field Goal Attempt)	对手的罚球次数占投射次数的比例
