b'win',b'lose',b'probability'
Cleveland Cavaliers,New York Knicks,0.919158853631
Golden State Warriors,San Antonio Spurs,0.658225680301
Portland Trail Blazers,Utah Jazz,0.596075438269
Boston Celtics,Brooklyn Nets,0.90170155571
Indiana Pacers,Dallas Mavericks,0.656202958045
Houston Rockets,Los Angeles Lakers,0.772977552161
Memphis Grizzlies,Minnesota Timberwolves,0.629258096518
Charlotte Hornets,Milwaukee Bucks,0.707931598776
New Orleans Pelicans,Denver Nuggets,0.525740109867
Miami Heat,Orlando Magic,0.622119384087
Oklahoma City Thunder,Philadelphia 76ers,0.94694683446
Sacramento Kings,Phoenix Suns,0.576372644069
Toronto Raptors,Detroit Pistons,0.756625644896
Atlanta Hawks,Washington Wizards,0.693188001609
Boston Celtics,Chicago Bulls,0.52719675363
Los Angeles Clippers,Portland Trail Blazers,0.554004304537
San Antonio Spurs,Sacramento Kings,0.851714112848
Indiana Pacers,Brooklyn Nets,0.803034674948
Dallas Mavericks,Houston Rockets,0.579571899689
Detroit Pistons,Orlando Magic,0.694642017326
Miami Heat,Charlotte Hornets,0.590303904585
Golden State Warriors,New Orleans Pelicans,0.905115113102
Oklahoma City Thunder,Phoenix Suns,0.936202219843
Cleveland Cavaliers,Toronto Raptors,0.517964661931
Utah Jazz,Los Angeles Lakers,0.878606959599
Chicago Bulls,Indiana Pacers,0.514289655093
Charlotte Hornets,Boston Celtics,0.585377578142
Cleveland Cavaliers,Orlando Magic,0.891531779667
Portland Trail Blazers,Denver Nuggets,0.768343971333
Milwaukee Bucks,Brooklyn Nets,0.726371031195
New York Knicks,Memphis Grizzlies,0.519812129983
Atlanta Hawks,Philadelphia 76ers,0.89720923219
Sacramento Kings,Minnesota Timberwolves,0.596715523874
San Antonio Spurs,New Orleans Pelicans,0.935895357343
Detroit Pistons,Milwaukee Bucks,0.748681938569
Houston Rockets,Dallas Mavericks,0.609371658309
Los Angeles Clippers,Utah Jazz,0.734050519127
Washington Wizards,Memphis Grizzlies,0.511028189168
San Antonio Spurs,Miami Heat,0.674349261739
Oklahoma City Thunder,Los Angeles Lakers,0.956308843425
Golden State Warriors,Phoenix Suns,0.933842479776
Atlanta Hawks,Sacramento Kings,0.791672703581
Chicago Bulls,Brooklyn Nets,0.721036395353
Los Angeles Clippers,Phoenix Suns,0.901942839634
